Individual Test Solutions,Remote Testing,Adaptive/IRT,Test Type,Description,Job Level,Language,Assessment Length
[Adobe Experience Manager (New)](https://www.shl.com/solutions/products/product-catalog/view/adobe-experience-manager-new/),Yes,No,K,"Multi-choice test that measures the knowledge of AEM components, templates, workflows, AEM collections, OSGi services and troubleshooting of AEM projects.","Mid-Professional, Professional Individual Contributor",English (USA),17 minutes
[Adobe Photoshop CC](https://www.shl.com/solutions/products/product-catalog/view/adobe-photoshop-cc/),Yes,Yes,K,"The Adobe Photoshop CC test measures knowledge of Adobe Photoshop CC. Designed for experienced users, this test covers the following topics: 3D, Color, File Management, Interface, Layers, Painting and Drawing, Retouch and Enhancements, Selection, Text, and Web.","Mid-Professional, Professional Individual Contributor",English (USA),20 minutes
[Aeronautical Engineering (New)](https://www.shl.com/solutions/products/product-catalog/view/aeronautical-engineering-new/),Yes,No,K,"Multi-choice test that measures the knowledge of flight mechanics, space dynamics, aerodynamics, structures and propulsion.","Graduate, Mid-Professional, Professional Individual Contributor",English (USA),10 minutes
[Aerospace Engineering (New)](https://www.shl.com/solutions/products/product-catalog/view/aerospace-engineering-new/),Yes,No,K,"Multi-choice test that measures the conceptual knowledge of aerodynamics, aircraft systems and instrumentation, flight dynamics, space dynamics and avionics.","Graduate, Mid-Professional, Professional Individual Contributor",English (USA),10 minutes
[Agile Software Development](https://www.shl.com/solutions/products/product-catalog/view/agile-software-development/),Yes,No,K,"Multi-choice test that measures the knowledge of agile methodology, scrum, feature driven software development, incremental and iterative development and processes involved in agile software development.",Graduate,English (USA),7 minutes
[Agile Testing (New)](https://www.shl.com/solutions/products/product-catalog/view/agile-testing-new/),Yes,No,K,"Multi-choice test that measures the knowledge of tools, techniques and processes involved in the Agile testing methodology.","Mid-Professional, Professional Individual Contributor",English (USA),13 minutes
[AI Skills](https://www.shl.com/solutions/products/product-catalog/view/ai-skills/),Yes,No,P,The AI Skills assessment measures the skills that help candidates successfully leverage AI in their work.,General Population,English (USA),16 minutes
[Amazon Web Services (AWS) Development (New)](https://www.shl.com/solutions/products/product-catalog/view/amazon-web-services-aws-development-new/),Yes,No,K,"Multi-choice test that measures the knowledge of AWS delivery process, monitoring, metrics, logging, security, validation and scalability.","Mid-Professional, Professional Individual Contributor",English (USA),6 minutes
[Android Development (New)](https://www.shl.com/solutions/products/product-catalog/view/android-development-new/),Yes,No,K,"Multi-choice test that measures the knowledge of UI components for an Android device, services and alerts, animation and media apps, application components, security and testing.","Mid-Professional, Professional Individual Contributor",English (USA),7 minutes
[Angular 6 (New)](https://www.shl.com/solutions/products/product-catalog/view/angular-6-new/),Yes,No,K,"Multi-choice test that measures the knowledge of the basic components and modules of Angular 6 and concepts like data binding, dependency injection, CRUD with HTTP, typescript, routing and navigation.","Mid-Professional, Professional Individual Contributor",English (USA),11 minutes
[AngularJS (New)](https://www.shl.com/solutions/products/product-catalog/view/angularjs-new/),Yes,No,K,"Multi-choice test that measures the knowledge of AngularJS architecture, forms, directives, filters, controllers, routing and testing.","Mid-Professional, Professional Individual Contributor",English (USA),9 minutes
