Individual Test Solutions,Remote Testing,Adaptive/IRT,Test Type,Description,Job Level,Language,Assessment Length
[Oracle DBA (Advanced Level) (New)](https://www.shl.com/solutions/products/product-catalog/view/oracle-dba-advanced-level-new/),Yes,No,K,"Multi-choice test that measures the knowledge of Oracle DB architecture, backup and recovery, MySQL administration and advanced topics such as network configuration and data warehouse management.","Mid-Professional, Professional Individual Contributor",English (USA),12 minutes
[Oracle DBA (Entry Level) (New)](https://www.shl.com/solutions/products/product-catalog/view/oracle-dba-entry-level-new/),Yes,No,K,"Multi-choice test that measures the knowledge of Oracle database architecture, data management, backup and recovery, and MySQL administration.","Mid-Professional, Professional Individual Contributor",English (USA),12 minutes
[Oracle PL/SQL (New)](https://www.shl.com/solutions/products/product-catalog/view/oracle-plsql-new/),Yes,No,K,"Multi-choice test that measures the knowledge of SQL queries, relational database concepts and specific Oracle PL/SQL features.","Mid-Professional, Professional Individual Contributor",English (USA),11 minutes
[Oracle WebLogic Server (New)](https://www.shl.com/solutions/products/product-catalog/view/oracle-weblogic-server-new/),Yes,No,K,Not found,Not found,Not found,Not found
[Organic Chemistry (New)](https://www.shl.com/solutions/products/product-catalog/view/organic-chemistry-new/),Yes,No,K,Multi-choice test that measures the knowledge of the basic concepts in organic chemistry.,"Graduate, Mid-Professional, Professional Individual Contributor",English (USA),10 minutes
[Paint Technology (New)](https://www.shl.com/solutions/products/product-catalog/view/paint-technology-new/),Yes,No,K,"Multi-choice test that measures the knowledge of paint raw materials and precursors, manufacture of different types of coatings, surface treatment and coating applications.","Professional Individual Contributor, Graduate, Mid-Professional",English (USA),7 minutes
[Pediatrics (New)](https://www.shl.com/solutions/products/product-catalog/view/pediatrics-new/),Yes,No,K,"Multi-choice test that measures the basic knowledge of pediatric diseases, their symptoms and the medicines administered to cure or prevent them.","Graduate, Mid-Professional, Professional Individual Contributor",English (USA),5 minutes
[Pega Development (New)](https://www.shl.com/solutions/products/product-catalog/view/pega-development-new/),Yes,No,K,"Multi-choice test that measures the knowledge of Pega architecture, user interface, rule and user management, case management, integration with external systems, frameworks, applications and performance.","Mid-Professional, Professional Individual Contributor",English (USA),17 minutes
[Perl (New)](https://www.shl.com/solutions/products/product-catalog/view/perl-new/),Yes,No,K,"Multi-choice test that measures the knowledge of Perl scripting used for text manipulation, web development, system administration, etc.","Mid-Professional, Professional Individual Contributor",English (USA),9 minutes
[Petrochemical Engineering (New)](https://www.shl.com/solutions/products/product-catalog/view/petrochemical-engineering-new/),Yes,No,K,"Multi-choice test that measures the knowledge of fluid and thermal principles of petrochemical engineering, chemical processes, petroleum composition and processing.","Graduate, Mid-Professional, Professional Individual Contributor",English (USA),7 minutes
[Petroleum Engineering (New)](https://www.shl.com/solutions/products/product-catalog/view/petroleum-engineering-new/),Yes,No,K,"Multi-choice test that measures the knowledge of petroleum engineering, drilling and production operations and offshore petroleum production.","Graduate, Mid-Professional, Professional Individual Contributor",English (USA),10 minutes
